school_code,county_name,district_name,school_name,enrollment,frpm_count,frpm_perc,num_act_takers,act_avg_score_read,act_avg_score_eng,act_avg_score_math,act_avg_score_sci,act_num_above_21,act_perc_above_21,num_sat_takers,sat_num_read_write_benchmark,sat_perc_read_write_benchmark,sat_num_math_benchmark,sat_perc_math_benchmark,sat_total_num_both_benchmarks,sat_perc_both_benchmarks
112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,385,306,0.795,0.0,,,,,,,61.0,23.0,0.377,8.0,0.1311,8.0,0.1311
131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,372,372,1.0,21.0,16.0,13.0,15.0,17.0,2.0,0.09519999999999999,,,,,,,
106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,192,55,0.28600000000000003,12.0,,,,,,,32.0,30.0,0.9375,29.0,0.9063,28.0,0.875
130229,Alameda,Alameda Unified,Alameda High,1767,371,0.21,93.0,28.0,27.0,27.0,26.0,85.0,0.914,190.0,160.0,0.8421,145.0,0.7631999999999999,132.0,0.6947
130609,Alameda,Alameda Unified,Alameda Community Learning Center,351,93,0.265,5.0,,,,,,,21.0,20.0,0.9523999999999999,11.0,0.5238,10.0,0.47619999999999996
130625,Alameda,Alameda Unified,Alternatives in Action,202,191,0.946,0.0,,,,,,,25.0,6.0,0.24,0.0,0.0,0.0,0.0
132142,Alameda,Alameda Unified,Encinal Junior/Senior High,1261,498,0.395,44.0,26.0,26.0,25.0,24.0,36.0,0.8181999999999999,92.0,69.0,0.75,54.0,0.5870000000000001,51.0,0.5543
130450,Alameda,Albany City Unified,Albany High,1168,214,0.183,58.0,28.0,27.0,27.0,26.0,51.0,0.8793000000000001,114.0,107.0,0.9386,97.0,0.8509,96.0,0.8421
131177,Alameda,Berkeley Unified,Berkeley High,3154,823,0.261,222.0,26.0,26.0,25.0,25.0,165.0,0.7432,292.0,265.0,0.9075,221.0,0.7568,218.0,0.7465999999999999
132225,Alameda,Castro Valley Unified,Castro Valley High,2834,629,0.222,106.0,26.0,25.0,25.0,25.0,82.0,0.7736,311.0,279.0,0.8970999999999999,243.0,0.7814,234.0,0.7524
130062,Alameda,Fremont Unified,American High,2448,492,0.201,136.0,29.0,30.0,30.0,29.0,126.0,0.9265000000000001,203.0,188.0,0.9261,180.0,0.8867,174.0,0.8571
134270,Alameda,Fremont Unified,Irvington High,2294,383,0.16699999999999998,111.0,30.0,31.0,30.0,29.0,103.0,0.9279000000000001,179.0,165.0,0.9218000000000001,155.0,0.8659,152.0,0.8492000000000001
134452,Alameda,Fremont Unified,John F. Kennedy High,1292,559,0.433,38.0,26.0,25.0,25.0,24.0,29.0,0.7631999999999999,124.0,99.0,0.7984,71.0,0.5726,68.0,0.5484
135244,Alameda,Fremont Unified,Mission San Jose High,2046,138,0.067,157.0,31.0,32.0,32.0,30.0,151.0,0.9618000000000001,149.0,147.0,0.9865999999999999,142.0,0.953,142.0,0.953
138693,Alameda,Fremont Unified,Washington High,1918,568,0.29600000000000004,65.0,28.0,28.0,28.0,27.0,60.0,0.9231,180.0,158.0,0.8778,139.0,0.7722,134.0,0.7444
108670,Alameda,Hayward Unified,Leadership Public Schools - Hayward,595,370,0.622,134.0,19.0,18.0,19.0,19.0,39.0,0.29100000000000004,106.0,70.0,0.6604000000000001,56.0,0.5283,51.0,0.48109999999999997
133629,Alameda,Hayward Unified,Hayward High,1637,1125,0.687,37.0,21.0,20.0,20.0,20.0,21.0,0.5676,135.0,79.0,0.5852,53.0,0.3926,46.0,0.3407
135319,Alameda,Hayward Unified,Mt. Eden High,1979,1294,0.654,38.0,22.0,21.0,20.0,21.0,22.0,0.5789,164.0,117.0,0.7134,85.0,0.5183,80.0,0.4878
137646,Alameda,Hayward Unified,Impact Academy of Arts & Technology,842,541,0.643,23.0,18.0,18.0,19.0,18.0,5.0,0.21739999999999998,54.0,29.0,0.537,22.0,0.40740000000000004,21.0,0.3889
138339,Alameda,Hayward Unified,Tennyson High,1423,1086,0.763,13.0,,,,,,,89.0,45.0,0.5056,22.0,0.24719999999999998,17.0,0.191
133397,Alameda,Livermore Valley Joint Unified,Granada High,2282,463,0.203,147.0,27.0,26.0,26.0,25.0,118.0,0.8027,178.0,157.0,0.882,143.0,0.8034,132.0,0.7415999999999999
134536,Alameda,Livermore Valley Joint Unified,Livermore High,1878,458,0.244,99.0,25.0,24.0,24.0,24.0,80.0,0.8081,132.0,118.0,0.8939,101.0,0.7652,97.0,0.7348
130054,Alameda,Newark Unified,Newark Memorial High,1711,778,0.455,31.0,22.0,22.0,22.0,22.0,22.0,0.7097,141.0,107.0,0.7589,66.0,0.4681,64.0,0.4539
134668,Alameda,New Haven Unified,James Logan High,3635,1593,0.43799999999999994,132.0,24.0,23.0,24.0,24.0,90.0,0.6818000000000001,336.0,269.0,0.8006,211.0,0.628,201.0,0.5982
100065,Alameda,Oakland Unified,Oakland Unity High,359,306,0.852,53.0,17.0,15.0,19.0,18.0,12.0,0.22640000000000002,35.0,18.0,0.5143,15.0,0.4286,14.0,0.4
100701,Alameda,Oakland Unified,MetWest High,160,128,0.8,0.0,,,,,,,18.0,5.0,0.2778,3.0,0.16670000000000001,3.0,0.16670000000000001
106906,Alameda,Oakland Unified,Bay Area Technology,299,160,0.535,3.0,,,,,,,19.0,8.0,0.4211,4.0,0.21050000000000002,4.0,0.21050000000000002
108944,Alameda,Oakland Unified,Lighthouse Community Charter High,280,221,0.789,0.0,,,,,,,43.0,25.0,0.5814,14.0,0.3256,13.0,0.3023
110189,Alameda,Oakland Unified,McClymonds High,383,328,0.856,45.0,14.0,13.0,15.0,14.0,5.0,0.11109999999999999,45.0,13.0,0.2889,5.0,0.11109999999999999,5.0,0.11109999999999999
111856,Alameda,Oakland Unified,American Indian Public High,411,290,0.706,3.0,,,,,,,63.0,44.0,0.6984,41.0,0.6507999999999999,34.0,0.5397
112797,Alameda,Oakland Unified,Coliseum College Prep Academy,486,457,0.94,9.0,,,,,,,22.0,8.0,0.3636,2.0,0.0909,2.0,0.0909
114868,Alameda,Oakland Unified,Oakland Charter High,459,380,0.828,18.0,23.0,22.0,25.0,22.0,11.0,0.6111,67.0,55.0,0.8209000000000001,42.0,0.6269,40.0,0.597
115238,Alameda,Oakland Unified,ARISE High,317,227,0.716,4.0,,,,,,,39.0,13.0,0.3333,6.0,0.15380000000000002,4.0,0.1026
115667,Alameda,Oakland Unified,Oakland International High,369,358,0.97,0.0,,,,,,,24.0,2.0,0.0833,7.0,0.2917,1.0,0.0417
118224,Alameda,Oakland Unified,Aspire Golden State College Preparatory Academy,618,550,0.89,151.0,18.0,17.0,17.0,17.0,31.0,0.2053,29.0,12.0,0.4138,11.0,0.37929999999999997,8.0,0.2759
125161,Alameda,Oakland Unified,Castlemont High,835,762,0.9129999999999999,1.0,,,,,,,46.0,11.0,0.2391,4.0,0.087,4.0,0.087
125716,Alameda,Oakland Unified,Fremont High,771,728,0.9440000000000001,26.0,14.0,14.0,15.0,14.0,2.0,0.07690000000000001,43.0,13.0,0.3023,3.0,0.0698,2.0,0.04650000000000001
126748,Alameda,Oakland Unified,LPS Oakland R & D Campus,483,468,0.9690000000000001,99.0,15.0,13.0,16.0,16.0,4.0,0.0404,42.0,16.0,0.381,7.0,0.16670000000000001,7.0,0.16670000000000001
130575,Alameda,Oakland Unified,LIFE Academy,463,421,0.909,27.0,20.0,20.0,20.0,20.0,13.0,0.4815,39.0,25.0,0.6409999999999999,16.0,0.4103,15.0,0.3846
130617,Alameda,Oakland Unified,"Oakland Military Institute, College Preparatory Academy",743,572,0.77,6.0,,,,,,,79.0,33.0,0.4177,18.0,0.2278,16.0,0.2025
130666,Alameda,Oakland Unified,Aspire Lionel Wilson College Preparatory Academy,525,438,0.8340000000000001,48.0,15.0,14.0,17.0,15.0,5.0,0.1042,16.0,10.0,0.625,5.0,0.3125,5.0,0.3125
135905,Alameda,Oakland Unified,Oakland High,1642,1429,0.87,74.0,19.0,19.0,19.0,19.0,30.0,0.4054,116.0,72.0,0.6207,38.0,0.3276,35.0,0.3017
136051,Alameda,Oakland Unified,Oakland Technical High,2016,962,0.47700000000000004,131.0,26.0,25.0,25.0,24.0,96.0,0.7328,186.0,156.0,0.8387,116.0,0.6236999999999999,114.0,0.6129
137943,Alameda,Oakland Unified,Skyline High,1592,1155,0.726,66.0,22.0,21.0,20.0,20.0,33.0,0.5,138.0,86.0,0.6232,46.0,0.3333,43.0,0.3116
3030772,Alameda,Oakland Unified,Oakland School for the Arts,749,101,0.135,30.0,26.0,26.0,21.0,23.0,22.0,0.7333,48.0,41.0,0.8542000000000001,30.0,0.625,29.0,0.6042000000000001
6066450,Alameda,Oakland Unified,Madison Park Academy 6-12,774,732,0.946,8.0,,,,,,,28.0,11.0,0.39289999999999997,4.0,0.1429,4.0,0.1429
136515,Alameda,Piedmont City Unified,Piedmont High,855,11,0.013000000000000001,111.0,30.0,32.0,29.0,29.0,108.0,0.973,64.0,62.0,0.9688,58.0,0.9063,57.0,0.8906000000000001
137588,Alameda,San Leandro Unified,San Leandro High,2652,1547,0.583,78.0,22.0,21.0,21.0,22.0,44.0,0.5640999999999999,193.0,138.0,0.715,83.0,0.4301,77.0,0.39899999999999997
111799,Alameda,San Lorenzo Unified,East Bay Arts High,214,137,0.64,1.0,,,,,,,16.0,9.0,0.5625,4.0,0.25,4.0,0.25
114421,Alameda,San Lorenzo Unified,KIPP King Collegiate High,642,402,0.626,108.0,21.0,21.0,22.0,21.0,58.0,0.537,65.0,44.0,0.6769,31.0,0.4769,27.0,0.4154
130849,Alameda,San Lorenzo Unified,Arroyo High,1819,892,0.49,32.0,21.0,22.0,23.0,22.0,18.0,0.5625,192.0,135.0,0.7031000000000001,99.0,0.5156000000000001,91.0,0.474
137810,Alameda,San Lorenzo Unified,San Lorenzo High,1349,884,0.655,48.0,20.0,19.0,20.0,19.0,15.0,0.3125,91.0,56.0,0.6154,36.0,0.3956,29.0,0.3187
132704,Alameda,Dublin Unified,Dublin High,2978,298,0.1,216.0,28.0,28.0,28.0,27.0,187.0,0.8656999999999999,271.0,255.0,0.941,214.0,0.7897,212.0,0.7823
130096,Alameda,Pleasanton Unified,Foothill High,2178,222,0.102,196.0,28.0,28.0,28.0,27.0,176.0,0.898,179.0,173.0,0.9665,153.0,0.8547,151.0,0.8436
130583,Alameda,Pleasanton Unified,Amador Valley High,2713,202,0.07400000000000001,280.0,29.0,29.0,28.0,28.0,258.0,0.9214,259.0,244.0,0.9420999999999999,218.0,0.8417,217.0,0.8378
330753,Amador,Amador County Unified,Amador High,694,250,0.36,17.0,25.0,25.0,25.0,24.0,16.0,0.9412,26.0,23.0,0.8845999999999999,18.0,0.6923,18.0,0.6923
334755,Amador,Amador County Unified,Argonaut High,474,170,0.359,20.0,23.0,21.0,21.0,21.0,13.0,0.65,27.0,21.0,0.7778,17.0,0.6296,15.0,0.5556
114991,Butte,Butte County Office of Education,CORE Butte Charter,880,386,0.439,10.0,,,,,,,23.0,20.0,0.8695999999999999,7.0,0.3043,7.0,0.3043
120394,Butte,Chico Unified,Inspire School of Arts and Sciences,444,150,0.33799999999999997,7.0,,,,,,,22.0,21.0,0.9545,17.0,0.7726999999999999,17.0,0.7726999999999999
431676,Butte,Chico Unified,Chico High,1740,705,0.405,46.0,25.0,23.0,24.0,24.0,32.0,0.6957,135.0,116.0,0.8593000000000001,94.0,0.6962999999999999,89.0,0.6593000000000001
437558,Butte,Chico Unified,Pleasant Valley High,1971,715,0.363,84.0,23.0,23.0,24.0,23.0,60.0,0.7143,135.0,116.0,0.8593000000000001,100.0,0.7406999999999999,95.0,0.7037
433201,Butte,Durham Unified,Durham High,309,110,0.35600000000000004,3.0,,,,,,,31.0,30.0,0.9677,21.0,0.6774,21.0,0.6774
434803,Butte,Oroville Union High,Las Plumas High,1073,758,0.706,14.0,,,,,,,28.0,21.0,0.75,13.0,0.4643,13.0,0.4643
435602,Butte,Oroville Union High,Oroville High,979,769,0.785,19.0,21.0,19.0,20.0,21.0,7.0,0.36840000000000006,42.0,30.0,0.7143,18.0,0.4286,16.0,0.381
437350,Butte,Paradise Unified,Paradise Senior High,898,541,0.602,22.0,23.0,21.0,24.0,23.0,16.0,0.7273000000000001,52.0,48.0,0.9231,39.0,0.75,38.0,0.7308
433953,Butte,Gridley Unified,Gridley High,666,461,0.6920000000000001,15.0,22.0,22.0,24.0,22.0,9.0,0.6,64.0,39.0,0.6093999999999999,34.0,0.5313,30.0,0.46880000000000005
532507,Calaveras,Bret Harte Union High,Bret Harte Union High,607,225,0.371,12.0,,,,,,,46.0,42.0,0.9129999999999999,29.0,0.6304,29.0,0.6304
531509,Calaveras,Calaveras Unified,Calaveras High,825,385,0.467,19.0,25.0,22.0,24.0,23.0,16.0,0.8421,37.0,34.0,0.9189,26.0,0.7027,26.0,0.7027
635250,Colusa,Pierce Joint Unified,Pierce High,427,270,0.632,16.0,19.0,17.0,19.0,19.0,5.0,0.3125,21.0,11.0,0.5238,3.0,0.1429,3.0,0.1429
637504,Colusa,Williams Unified,Williams Junior/Senior High,581,521,0.897,5.0,,,,,,,29.0,11.0,0.37929999999999997,1.0,0.0345,0.0,0.0
114470,Contra Costa,Contra Costa County Office of Education,Making Waves Academy,940,781,0.831,20.0,20.0,19.0,20.0,19.0,10.0,0.5,77.0,39.0,0.5065,23.0,0.2987,20.0,0.2597
731380,Contra Costa,Contra Costa County Office of Education,Clayton Valley Charter High,2196,450,0.205,130.0,25.0,24.0,23.0,24.0,95.0,0.7308,218.0,198.0,0.9083,156.0,0.7156,155.0,0.711
730283,Contra Costa,Acalanes Union High,Acalanes High,1335,79,0.059000000000000004,99.0,29.0,29.0,28.0,27.0,93.0,0.9394,122.0,119.0,0.9754,109.0,0.8934000000000001,109.0,0.8934000000000001
731125,Contra Costa,Acalanes Union High,Campolindo High,1406,48,0.034,161.0,30.0,30.0,28.0,28.0,149.0,0.9255,97.0,97.0,1.0,77.0,0.7938,77.0,0.7938
733725,Contra Costa,Acalanes Union High,Las Lomas High,1601,192,0.12,128.0,26.0,26.0,25.0,25.0,107.0,0.8359000000000001,149.0,135.0,0.9059999999999999,114.0,0.7651,114.0,0.7651
734244,Contra Costa,Acalanes Union High,Miramonte High,1286,52,0.04,149.0,29.0,29.0,28.0,28.0,137.0,0.9195,105.0,101.0,0.9619,93.0,0.8856999999999999,93.0,0.8856999999999999
117218,Contra Costa,Antioch Unified,Dozier-Libbey Medical High,713,397,0.557,19.0,23.0,21.0,21.0,21.0,10.0,0.5263,56.0,41.0,0.7321,25.0,0.4464,25.0,0.4464
730465,Contra Costa,Antioch Unified,Deer Valley High,1986,1189,0.599,47.0,23.0,21.0,22.0,21.0,23.0,0.4894,118.0,84.0,0.7119,67.0,0.5678,59.0,0.5
730861,Contra Costa,Antioch Unified,Antioch High,2061,1461,0.7090000000000001,50.0,20.0,18.0,18.0,19.0,15.0,0.3,110.0,64.0,0.5818,25.0,0.2273,22.0,0.2
737023,Contra Costa,John Swett Unified,John Swett High,453,222,0.49,13.0,,,,,,,38.0,26.0,0.6842,20.0,0.5263,18.0,0.47369999999999995
107797,Contra Costa,Liberty Union High,Heritage High,2589,456,0.17600000000000002,112.0,26.0,25.0,24.0,25.0,87.0,0.7768,244.0,212.0,0.8689,158.0,0.6475,156.0,0.6393
730457,Contra Costa,Liberty Union High,Freedom High,2589,1014,0.392,89.0,22.0,21.0,20.0,21.0,40.0,0.44939999999999997,184.0,126.0,0.6848000000000001,69.0,0.375,66.0,0.35869999999999996
733980,Contra Costa,Liberty Union High,Liberty High,2708,739,0.273,82.0,24.0,22.0,22.0,22.0,55.0,0.6707,203.0,163.0,0.8029999999999999,115.0,0.5665,109.0,0.5368999999999999
730549,Contra Costa,Martinez Unified,Alhambra Senior High,1232,273,0.222,40.0,25.0,23.0,25.0,23.0,30.0,0.75,79.0,71.0,0.8987,60.0,0.7595000000000001,60.0,0.7595000000000001
730044,Contra Costa,Mt. Diablo Unified,Northgate High,1490,185,0.124,180.0,27.0,27.0,26.0,26.0,148.0,0.8222,142.0,123.0,0.8662000000000001,110.0,0.7746,108.0,0.7606
731646,Contra Costa,Mt. Diablo Unified,College Park High,2036,520,0.255,70.0,25.0,24.0,24.0,23.0,53.0,0.7570999999999999,162.0,151.0,0.9320999999999999,129.0,0.7963,127.0,0.784
731836,Contra Costa,Mt. Diablo Unified,Concord High,1385,740,0.534,24.0,25.0,24.0,24.0,23.0,21.0,0.875,115.0,91.0,0.7913,68.0,0.5913,65.0,0.5652
734566,Contra Costa,Mt. Diablo Unified,Mt. Diablo High,1448,1157,0.799,30.0,19.0,18.0,19.0,19.0,9.0,0.3,104.0,54.0,0.5192,36.0,0.34619999999999995,32.0,0.3077
737809,Contra Costa,Mt. Diablo Unified,Ygnacio Valley High,1220,966,0.792,18.0,23.0,21.0,22.0,22.0,9.0,0.5,85.0,52.0,0.6118,30.0,0.3529,28.0,0.32939999999999997
735407,Contra Costa,Pittsburg Unified,Pittsburg Senior High,3573,2314,0.648,155.0,19.0,19.0,19.0,19.0,45.0,0.2903,277.0,164.0,0.5921,96.0,0.34659999999999996,89.0,0.32130000000000003
101477,Contra Costa,West Contra Costa Unified,Leadership Public Schools: Richmond,597,512,0.858,148.0,17.0,15.0,17.0,16.0,18.0,0.1216,100.0,46.0,0.46,29.0,0.29,23.0,0.23
132100,Contra Costa,West Contra Costa Unified,Aspire Richmond Ca. College Preparatory Academy,541,357,0.66,59.0,17.0,16.0,16.0,17.0,6.0,0.1017,0.0,,,,,,
132233,Contra Costa,West Contra Costa Unified,John Henry High,320,270,0.8440000000000001,4.0,,,,,,,44.0,22.0,0.5,13.0,0.2955,11.0,0.25
730291,Contra Costa,West Contra Costa Unified,Middle College High,288,156,0.542,21.0,22.0,20.0,20.0,20.0,11.0,0.5238,73.0,60.0,0.8219,42.0,0.5753,41.0,0.5616
730325,Contra Costa,West Contra Costa Unified,Vista High (Alternative),253,185,0.731,2.0,,,,,,,26.0,12.0,0.46149999999999997,3.0,0.11539999999999999,3.0,0.11539999999999999
730598,Contra Costa,West Contra Costa Unified,Hercules High,867,376,0.434,20.0,23.0,25.0,22.0,23.0,13.0,0.65,208.0,125.0,0.601,79.0,0.37979999999999997,76.0,0.3654
732164,Contra Costa,West Contra Costa Unified,De Anza High,1368,991,0.7240000000000001,55.0,20.0,19.0,18.0,19.0,19.0,0.3455,291.0,111.0,0.3814,53.0,0.1821,46.0,0.15810000000000002
732941,Contra Costa,West Contra Costa Unified,El Cerrito High,1506,634,0.42100000000000004,48.0,24.0,23.0,23.0,23.0,29.0,0.6042000000000001,254.0,155.0,0.6102000000000001,100.0,0.3937,96.0,0.37799999999999995
733253,Contra Costa,West Contra Costa Unified,Greenwood Academy,313,235,0.7509999999999999,,,,,,,,74.0,2.0,0.027000000000000003,1.0,0.013500000000000002,1.0,0.013500000000000002
733659,Contra Costa,West Contra Costa Unified,John F. Kennedy High,851,798,0.938,15.0,16.0,16.0,16.0,14.0,0.0,0.0,129.0,31.0,0.2403,3.0,0.0233,2.0,0.0155
735316,Contra Costa,West Contra Costa Unified,Pinole Valley High,1120,666,0.595,33.0,21.0,21.0,21.0,21.0,17.0,0.5152,249.0,117.0,0.46990000000000004,60.0,0.24100000000000002,58.0,0.2329
735902,Contra Costa,West Contra Costa Unified,Richmond High,1567,1405,0.897,70.0,18.0,16.0,17.0,17.0,10.0,0.1429,322.0,97.0,0.3012,48.0,0.1491,40.0,0.1242
113118,Contra Costa,San Ramon Valley Unified,Dougherty Valley High,3331,220,0.066,294.0,30.0,30.0,30.0,29.0,281.0,0.9558,270.0,262.0,0.9704,248.0,0.9185,244.0,0.9037000000000001
730051,Contra Costa,San Ramon Valley Unified,California High,2777,180,0.065,203.0,27.0,26.0,26.0,26.0,178.0,0.8768,261.0,249.0,0.9540000000000001,220.0,0.8429000000000001,216.0,0.8276
734368,Contra Costa,San Ramon Valley Unified,Monte Vista High,2448,96,0.039,293.0,27.0,27.0,26.0,26.0,263.0,0.8976000000000001,243.0,231.0,0.9506,203.0,0.8354,200.0,0.823
736504,Contra Costa,San Ramon Valley Unified,San Ramon Valley High,2094,84,0.04,282.0,27.0,27.0,26.0,26.0,244.0,0.8652,155.0,146.0,0.9419,122.0,0.7870999999999999,122.0,0.7870999999999999
833004,Del Norte,Del Norte County Unified,Del Norte High,934,554,0.593,5.0,,,,,,,71.0,49.0,0.6901,36.0,0.507,30.0,0.4225
930081,El Dorado,El Dorado Union High,Oak Ridge High,2461,159,0.065,201.0,26.0,26.0,27.0,26.0,181.0,0.9005,256.0,246.0,0.9609000000000001,222.0,0.8672,218.0,0.8515999999999999
930164,El Dorado,El Dorado Union High,Union Mine High,1084,351,0.324,48.0,24.0,23.0,22.0,22.0,32.0,0.6667000000000001,63.0,54.0,0.8571,45.0,0.7143,40.0,0.6349
932756,El Dorado,El Dorado Union High,El Dorado High,1095,413,0.377,48.0,23.0,21.0,21.0,21.0,26.0,0.5417000000000001,61.0,51.0,0.8361,37.0,0.6065999999999999,36.0,0.5902000000000001
936302,El Dorado,El Dorado Union High,Ponderosa High,1865,337,0.18100000000000002,105.0,25.0,24.0,25.0,25.0,83.0,0.7905,138.0,125.0,0.9057999999999999,111.0,0.8043,108.0,0.7826000000000001
937805,El Dorado,Lake Tahoe Unified,South Tahoe High,1082,556,0.514,54.0,23.0,22.0,22.0,22.0,32.0,0.5926,54.0,43.0,0.7963,30.0,0.5556,28.0,0.5185
113555,Fresno,Clovis Unified,Clovis North High,2549,596,0.23399999999999999,124.0,27.0,27.0,27.0,27.0,111.0,0.8952,244.0,233.0,0.9549,199.0,0.8156,196.0,0.8033
1030196,Fresno,Clovis Unified,Clovis West High,2018,813,0.40299999999999997,84.0,23.0,24.0,24.0,23.0,58.0,0.6905,173.0,154.0,0.8902,124.0,0.7168000000000001,121.0,0.6994
1030501,Fresno,Clovis Unified,Buchanan High,2726,821,0.301,125.0,26.0,24.0,24.0,25.0,100.0,0.8,299.0,268.0,0.8963,193.0,0.6455,189.0,0.6321
