frpm_perc,act_perc_above_21,sat_perc_read_write_benchmark,sat_perc_math_benchmark,sat_perc_both_benchmarks,perc_sat_takers,perc_act_takers
0.795,,0.377,0.1311,0.1311,0.15844155844155844,0.0
1.0,0.09519999999999999,,,,,0.056451612903225805
0.28600000000000003,,0.9375,0.9063,0.875,0.16666666666666666,0.0625
0.21,0.914,0.8421,0.7631999999999999,0.6947,0.10752688172043011,0.05263157894736842
0.265,,0.9523999999999999,0.5238,0.47619999999999996,0.05982905982905983,0.014245014245014245
0.946,,0.24,0.0,0.0,0.12376237623762376,0.0
0.395,0.8181999999999999,0.75,0.5870000000000001,0.5543,0.07295796986518636,0.034892942109436956
0.183,0.8793000000000001,0.9386,0.8509,0.8421,0.0976027397260274,0.04965753424657534
0.261,0.7432,0.9075,0.7568,0.7465999999999999,0.09258084971464807,0.07038681039949271
0.222,0.7736,0.8970999999999999,0.7814,0.7524,0.10973888496824277,0.0374029640084686
0.201,0.9265000000000001,0.9261,0.8867,0.8571,0.08292483660130719,0.05555555555555555
0.16699999999999998,0.9279000000000001,0.9218000000000001,0.8659,0.8492000000000001,0.07802964254577158,0.04838709677419355
0.433,0.7631999999999999,0.7984,0.5726,0.5484,0.09597523219814241,0.029411764705882353
0.067,0.9618000000000001,0.9865999999999999,0.953,0.953,0.07282502443792767,0.07673509286412512
0.29600000000000004,0.9231,0.8778,0.7722,0.7444,0.09384775808133472,0.03388946819603754
0.622,0.29100000000000004,0.6604000000000001,0.5283,0.48109999999999997,0.1781512605042017,0.22521008403361345
0.687,0.5676,0.5852,0.3926,0.3407,0.0824679291386683,0.022602321319486866
0.654,0.5789,0.7134,0.5183,0.4878,0.0828701364325417,0.019201616978271854
0.643,0.21739999999999998,0.537,0.40740000000000004,0.3889,0.06413301662707839,0.027315914489311165
0.763,,0.5056,0.24719999999999998,0.191,0.06254392129304287,0.009135628952916374
0.203,0.8027,0.882,0.8034,0.7415999999999999,0.07800175284837861,0.06441717791411043
0.244,0.8081,0.8939,0.7652,0.7348,0.07028753993610223,0.052715654952076675
0.455,0.7097,0.7589,0.4681,0.4539,0.08240794856808883,0.018118059614260665
0.43799999999999994,0.6818000000000001,0.8006,0.628,0.5982,0.09243466299862449,0.036313617606602476
0.852,0.22640000000000002,0.5143,0.4286,0.4,0.09749303621169916,0.14763231197771587
0.8,,0.2778,0.16670000000000001,0.16670000000000001,0.1125,0.0
0.535,,0.4211,0.21050000000000002,0.21050000000000002,0.06354515050167224,0.010033444816053512
0.789,,0.5814,0.3256,0.3023,0.15357142857142858,0.0
0.856,0.11109999999999999,0.2889,0.11109999999999999,0.11109999999999999,0.1174934725848564,0.1174934725848564
0.706,,0.6984,0.6507999999999999,0.5397,0.15328467153284672,0.0072992700729927005
0.94,,0.3636,0.0909,0.0909,0.04526748971193416,0.018518518518518517
0.828,0.6111,0.8209000000000001,0.6269,0.597,0.14596949891067537,0.0392156862745098
0.716,,0.3333,0.15380000000000002,0.1026,0.12302839116719243,0.012618296529968454
0.97,,0.0833,0.2917,0.0417,0.06504065040650407,0.0
0.89,0.2053,0.4138,0.37929999999999997,0.2759,0.04692556634304207,0.24433656957928804
0.9129999999999999,,0.2391,0.087,0.087,0.055089820359281436,0.0011976047904191617
0.9440000000000001,0.07690000000000001,0.3023,0.0698,0.04650000000000001,0.055771725032425425,0.03372243839169909
0.9690000000000001,0.0404,0.381,0.16670000000000001,0.16670000000000001,0.08695652173913043,0.20496894409937888
0.909,0.4815,0.6409999999999999,0.4103,0.3846,0.08423326133909287,0.058315334773218146
0.77,,0.4177,0.2278,0.2025,0.1063257065948856,0.008075370121130552
0.8340000000000001,0.1042,0.625,0.3125,0.3125,0.030476190476190476,0.09142857142857143
0.87,0.4054,0.6207,0.3276,0.3017,0.07064555420219244,0.04506699147381242
0.47700000000000004,0.7328,0.8387,0.6236999999999999,0.6129,0.09226190476190477,0.06498015873015874
0.726,0.5,0.6232,0.3333,0.3116,0.08668341708542714,0.0414572864321608
0.135,0.7333,0.8542000000000001,0.625,0.6042000000000001,0.06408544726301736,0.04005340453938585
0.946,,0.39289999999999997,0.1429,0.1429,0.03617571059431524,0.0103359173126615
0.013000000000000001,0.973,0.9688,0.9063,0.8906000000000001,0.07485380116959064,0.12982456140350876
0.583,0.5640999999999999,0.715,0.4301,0.39899999999999997,0.07277526395173455,0.029411764705882353
0.64,,0.5625,0.25,0.25,0.07476635514018691,0.004672897196261682
0.626,0.537,0.6769,0.4769,0.4154,0.10124610591900311,0.16822429906542055
0.49,0.5625,0.7031000000000001,0.5156000000000001,0.474,0.10555250137438153,0.017592083562396922
0.655,0.3125,0.6154,0.3956,0.3187,0.06745737583395107,0.03558191252779837
0.1,0.8656999999999999,0.941,0.7897,0.7823,0.09100067159167226,0.0725319006044325
0.102,0.898,0.9665,0.8547,0.8436,0.08218549127640037,0.08999081726354453
0.07400000000000001,0.9214,0.9420999999999999,0.8417,0.8378,0.09546627349797272,0.1032067821599705
0.36,0.9412,0.8845999999999999,0.6923,0.6923,0.037463976945244955,0.024495677233429394
0.359,0.65,0.7778,0.6296,0.5556,0.056962025316455694,0.04219409282700422
0.439,,0.8695999999999999,0.3043,0.3043,0.026136363636363635,0.011363636363636364
0.33799999999999997,,0.9545,0.7726999999999999,0.7726999999999999,0.04954954954954955,0.015765765765765764
0.405,0.6957,0.8593000000000001,0.6962999999999999,0.6593000000000001,0.07758620689655173,0.026436781609195402
0.363,0.7143,0.8593000000000001,0.7406999999999999,0.7037,0.0684931506849315,0.0426179604261796
0.35600000000000004,,0.9677,0.6774,0.6774,0.10032362459546926,0.009708737864077669
0.706,,0.75,0.4643,0.4643,0.0260950605778192,0.0130475302889096
0.785,0.36840000000000006,0.7143,0.4286,0.381,0.04290091930541369,0.01940755873340143
0.602,0.7273000000000001,0.9231,0.75,0.7308,0.05790645879732739,0.024498886414253896
0.6920000000000001,0.6,0.6093999999999999,0.5313,0.46880000000000005,0.0960960960960961,0.02252252252252252
0.371,,0.9129999999999999,0.6304,0.6304,0.0757825370675453,0.019769357495881382
0.467,0.8421,0.9189,0.7027,0.7027,0.044848484848484846,0.02303030303030303
0.632,0.3125,0.5238,0.1429,0.1429,0.04918032786885246,0.03747072599531616
0.897,,0.37929999999999997,0.0345,0.0,0.04991394148020654,0.008605851979345954
0.831,0.5,0.5065,0.2987,0.2597,0.08191489361702127,0.02127659574468085
0.205,0.7308,0.9083,0.7156,0.711,0.09927140255009108,0.05919854280510018
0.059000000000000004,0.9394,0.9754,0.8934000000000001,0.8934000000000001,0.09138576779026217,0.07415730337078652
0.034,0.9255,1.0,0.7938,0.7938,0.0689900426742532,0.11450924608819346
0.12,0.8359000000000001,0.9059999999999999,0.7651,0.7651,0.09306683322923173,0.07995003123048094
0.04,0.9195,0.9619,0.8856999999999999,0.8856999999999999,0.08164852255054432,0.11586314152410575
0.557,0.5263,0.7321,0.4464,0.4464,0.0785413744740533,0.02664796633941094
0.599,0.4894,0.7119,0.5678,0.5,0.059415911379657606,0.02366565961732125
0.7090000000000001,0.3,0.5818,0.2273,0.2,0.053372149442018436,0.024260067928190198
0.49,,0.6842,0.5263,0.47369999999999995,0.08388520971302428,0.02869757174392936
0.17600000000000002,0.7768,0.8689,0.6475,0.6393,0.09424488219389726,0.04325994592506759
0.392,0.44939999999999997,0.6848000000000001,0.375,0.35869999999999996,0.07106991116261105,0.034376207029741215
0.273,0.6707,0.8029999999999999,0.5665,0.5368999999999999,0.07496307237813885,0.030280649926144758
0.222,0.75,0.8987,0.7595000000000001,0.7595000000000001,0.06412337662337662,0.032467532467532464
0.124,0.8222,0.8662000000000001,0.7746,0.7606,0.0953020134228188,0.12080536912751678
0.255,0.7570999999999999,0.9320999999999999,0.7963,0.784,0.07956777996070727,0.0343811394891945
0.534,0.875,0.7913,0.5913,0.5652,0.08303249097472924,0.017328519855595668
0.799,0.3,0.5192,0.34619999999999995,0.3077,0.0718232044198895,0.020718232044198894
0.792,0.5,0.6118,0.3529,0.32939999999999997,0.06967213114754098,0.014754098360655738
0.648,0.2903,0.5921,0.34659999999999996,0.32130000000000003,0.07752588860901204,0.04338091239854464
0.858,0.1216,0.46,0.29,0.23,0.16750418760469013,0.24790619765494137
0.66,0.1017,,,,0.0,0.10905730129390019
0.8440000000000001,,0.5,0.2955,0.25,0.1375,0.0125
0.542,0.5238,0.8219,0.5753,0.5616,0.2534722222222222,0.07291666666666667
0.731,,0.46149999999999997,0.11539999999999999,0.11539999999999999,0.10276679841897234,0.007905138339920948
0.434,0.65,0.601,0.37979999999999997,0.3654,0.23990772779700115,0.02306805074971165
0.7240000000000001,0.3455,0.3814,0.1821,0.15810000000000002,0.21271929824561403,0.0402046783625731
